,X,collisions,max_supported_sensors
0,0,0.0,0.0
1,5,0.0,0.011443674074073991
2,10,0.0,0.02282031407407389
3,15,0.010035561630506552,0.03429271703703675
4,20,0.012528473804100226,0.045793848888888496
5,25,0.01604010941348327,0.05721837037036988
6,30,0.009954422739409132,0.06861416296296237
7,35,0.012897161484661463,0.08005783703703634
8,40,0.011290643045348313,0.09145362962962883
9,45,0.01444226420955121,0.1029930666666724
10,50,0.028009990403268757,0.11446546962964818
11,55,0.027300291386307473,0.1258516859259572
12,60,0.024852264253865247,0.13719002074078468
13,65,0.026876705470402745,0.14858581333339
14,70,0.027779911472446434,0.16002948740747683
15,75,0.03794205821382538,0.17140612740748953
16,80,0.03871250240860448,0.18303175111120623
17,85,0.03698940608735203,0.19428389925936693
18,90,0.039379652560842505,0.20580418370382425
19,95,0.04461177207585027,0.21719040000013326
20,100,0.03988328783410618,0.22871068444459056
21,105,0.046481645547254716,0.24021181629645527
22,110,0.04316166709391239,0.2515022696298012
23,115,0.04866890251875687,0.26319492740759204
24,120,0.042383441888156265,0.27457156740760474
25,125,0.05638699970100912,0.2858811733335433
26,130,0.0520600175649801,0.2974397629631858
27,135,0.05031036432477274,0.3089121659261616
28,140,0.06752430313967331,0.3203175348150632
29,145,0.05018599610856186,0.33157925925952025
30,150,0.05352683520196927,0.3430229333336071
31,155,0.06115999876379834,0.3543899970373235
32,160,0.05514636115602541,0.3659390103706697
33,165,0.06258420004244278,0.37731565037068243
34,170,0.06918838908025779,0.3888072059262488
35,175,0.07544222678226029,0.4000210488891738
36,180,0.0830605086485089,0.4116562488891344
37,185,0.06955023909766643,0.42309992296316973
38,190,0.06922101807242168,0.43450529185201997
39,195,0.07057634649371695,0.44593938962975904
40,200,0.07908385227504072,0.45736391111120184
41,205,0.0808637854684127,0.4687501274074596
42,210,0.08225732260771748,0.480596005925938
43,215,0.08431732536498157,0.4916374755555302
44,220,0.08848323790082434,0.5034163199999349
45,225,0.08750570767611202,0.514342874073972
46,230,0.08425967872635332,0.5262174814813391
47,235,0.09185201621131131,0.537354714073894
48,240,0.09237854959963904,0.5490377955553359
49,245,0.09259329347856612,0.5600218074071506
50,250,0.08861086731511884,0.5718293807404439
51,255,0.09645886819953126,0.5834741570367008
52,260,0.09763403610568697,0.5946113896292556
53,265,0.09627114367972987,0.6060454874069947
54,270,0.10380076896761696,0.6177956029625105
55,275,0.1003237846121284,0.6289136829624729
56,280,0.10993171892438662,0.6406925274068774
57,285,0.11380961310558915,0.6518393362957285
58,290,0.10611405482006402,0.6629382637030984
59,295,0.10936849596324746,0.6746500740734291
60,300,0.11153160877257007,0.6860458666659831
61,305,0.11963856810634355,0.6979108977770541
62,310,0.12251345456627072,0.7086555022214621
63,315,0.11640994724632754,0.7206162962954957
64,320,0.12823679347490674,0.7320982755547161
65,325,0.12527813900438936,0.7430439822213457
66,330,0.12352782573486684,0.7547366399990839
67,335,0.13742889923503196,0.766027093332379
68,340,0.1292287712594079,0.7777580562953116
69,345,0.13195824396210437,0.7894985955546369
70,350,0.13120395769163126,0.8007794725917373
71,355,0.1317463893880229,0.8122039940732829
72,360,0.1300096397650843,0.8229677511103805
73,365,0.13989945740865525,0.8348998162956327
74,370,0.13271154825722725,0.8460274725919915
75,375,0.13023497036875747,0.8579691140735402
76,380,0.13052282170909363,0.8688094814810084
77,385,0.13768583164466308,0.880751122962557
78,390,0.13726816597901545,0.8919266607403976
79,395,0.14622785101170416,0.9036767762960192
