,backoffs,run1,run2,run3,run4,run5,max_shifts1,max_shifts2,max_shifts3,max_shifts4,max_shifts5,number_sensors_shifted1,number_sensors_shifted2,number_sensors_shifted3,number_sensors_shifted4,number_sensors_shifted5
79,2.4196706262626257,278.0,298.0,278.0,291.0,314.0,6.0,9.0,7.0,8.0,8.0,185.0,192.0,174.0,178.0,190.0
80,2.4498294949494945,297.0,345.0,333.0,299.0,327.0,8.0,9.0,9.0,6.0,6.0,182.0,203.0,193.0,201.0,199.0
81,2.4799883636363633,270.0,259.0,313.0,275.0,306.0,7.0,6.0,7.0,6.0,6.0,174.0,172.0,193.0,177.0,201.0
82,2.510147232323232,336.0,279.0,297.0,332.0,280.0,7.0,7.0,10.0,12.0,6.0,201.0,167.0,175.0,200.0,175.0
83,2.540306101010101,285.0,297.0,260.0,262.0,360.0,7.0,8.0,5.0,6.0,8.0,179.0,187.0,173.0,168.0,212.0
84,2.5704649696969692,280.0,349.0,322.0,317.0,284.0,6.0,8.0,7.0,9.0,6.0,165.0,210.0,199.0,200.0,195.0
85,2.600623838383838,293.0,296.0,255.0,272.0,314.0,7.0,6.0,6.0,9.0,9.0,190.0,193.0,170.0,171.0,182.0
86,2.630782707070707,309.0,297.0,343.0,341.0,285.0,10.0,8.0,7.0,7.0,5.0,186.0,187.0,209.0,207.0,186.0
87,2.6609415757575756,251.0,326.0,273.0,240.0,313.0,8.0,8.0,6.0,7.0,11.0,167.0,195.0,176.0,153.0,188.0
88,2.691100444444444,270.0,234.0,283.0,286.0,315.0,7.0,7.0,10.0,6.0,11.0,166.0,151.0,172.0,187.0,170.0
89,2.7212593131313128,253.0,267.0,335.0,342.0,268.0,7.0,6.0,8.0,7.0,8.0,175.0,176.0,197.0,210.0,176.0
90,2.7514181818181815,318.0,335.0,309.0,270.0,258.0,6.0,10.0,8.0,6.0,8.0,194.0,197.0,185.0,173.0,164.0
91,2.7815770505050503,298.0,314.0,301.0,295.0,266.0,8.0,7.0,6.0,6.0,7.0,177.0,193.0,191.0,179.0,182.0
92,2.8117359191919187,280.0,316.0,274.0,263.0,341.0,6.0,11.0,7.0,7.0,8.0,181.0,190.0,175.0,169.0,199.0
93,2.8418947878787875,297.0,305.0,310.0,263.0,302.0,9.0,9.0,8.0,8.0,7.0,186.0,185.0,191.0,169.0,174.0
94,2.8720536565656563,289.0,250.0,316.0,293.0,259.0,7.0,8.0,7.0,6.0,6.0,176.0,158.0,199.0,188.0,167.0
95,2.902212525252525,296.0,275.0,325.0,312.0,240.0,7.0,7.0,9.0,6.0,6.0,189.0,185.0,194.0,202.0,163.0
96,2.932371393939394,257.0,302.0,258.0,296.0,320.0,8.0,10.0,6.0,8.0,7.0,160.0,176.0,161.0,185.0,198.0
97,2.962530262626262,289.0,269.0,295.0,242.0,273.0,7.0,5.0,8.0,6.0,6.0,173.0,176.0,182.0,167.0,173.0
98,2.992689131313131,294.0,265.0,295.0,312.0,267.0,7.0,7.0,7.0,9.0,6.0,183.0,174.0,193.0,183.0,179.0
99,3.0228479999999998,328.0,317.0,293.0,304.0,282.0,10.0,7.0,8.0,7.0,7.0,196.0,196.0,191.0,183.0,183.0
