,X,collisions
18,180,"[0.033417721518987344, 0.05541497975708502, 0.06636271529888552, 0.03891494485993155, 0.07754688291941206, 0.08332279681375648, 0.06120384420839656, 0.08860759493670886, 0.061051298290056996, 0.049778340721975935, 0.077859497844281, 0.08877912867274569, 0.016347737929286527, 0.054978464656701295, 0.0720435553304634, 0.07755671017615004, 0.0498923641889325, 0.06675110829639012, 0.06093235368634406, 0.05549220828582288]"
19,190,"[0.047276217902567794, 0.07327017628012951, 0.06306954436450839, 0.03683705303575714, 0.08923003118253778, 0.07361227670543101, 0.04194630872483222, 0.11547233225303084, 0.04224675948151704, 0.07864764416736603, 0.07866650677539273, 0.07333732774116238, 0.06783317353787152, 0.04717320849837955, 0.06822541966426858, 0.08345341018251681, 0.08911009834492684, 0.07374985010193069, 0.06814637072585483, 0.09437582443938122]"
20,200,"[0.06520004559443748, 0.05962832060198381, 0.09997720018239854, 0.07009345794392523, 0.054694621695533276, 0.11446469248291571, 0.049623545516769334, 0.09003875085479826, 0.04957829952131297, 0.0645933014354067, 0.07500284965234241, 0.044740437158469946, 0.07971262401642148, 0.044988610478359906, 0.06504157648934958, 0.05962832060198381, 0.0849583760976166, 0.07476635514018691, 0.05003419193070435, 0.0897596537191024]"
21,210,"[0.037985673974386805, 0.07614708753660918, 0.07163790296320417, 0.08549419550829988, 0.07138207854198307, 0.05207768254312683, 0.03811074918566775, 0.06648590021691975, 0.0810371013234975, 0.04754667824576639, 0.08989251981326675, 0.07603736693460786, 0.09049479166666667, 0.05230602278893109, 0.09518124593010636, 0.08088155466290305, 0.08059442455797809, 0.08570188761119549, 0.06641345632121541, 0.0855127509495388]"
22,220,"[0.09942004971002485, 0.07230163662730474, 0.0587260486794407, 0.08151216986017608, 0.09060784922853889, 0.07694697597348799, 0.07740130556419024, 0.0858889349357646, 0.07708246995441359, 0.04077830676878493, 0.05406525116519938, 0.06806174246348286, 0.140812940688511, 0.07267833109017496, 0.07705053852526926, 0.09089024769406157, 0.07719407315304114, 0.07230912669636383, 0.05874430169912971, 0.07228790707322133]"
23,230,"[0.10859235794892101, 0.060834241553551965, 0.07817299118200734, 0.09112519809825674, 0.06942656234525106, 0.0955117408104627, 0.06932065755595167, 0.07357164075651054, 0.07788347205707491, 0.06513333994250024, 0.05612295488349033, 0.060555004955401386, 0.04762847806713536, 0.08242520309094511, 0.06036277133511746, 0.08230982567353408, 0.05631010211162883, 0.08230982567353408, 0.08681002873847983, 0.08683168316831683]"
24,240,"[0.11205013768872851, 0.10802850356294537, 0.07060724128100351, 0.10821072615092549, 0.0829930680847023, 0.08697303456133688, 0.08361839604713037, 0.07068212046361391, 0.05411563657077756, 0.09988606152677554, 0.07470336971998101, 0.10825182793656822, 0.08325413419501995, 0.10805165210786176, 0.10829296095753776, 0.08731591448931117, 0.07495967359332005, 0.062143671607753706, 0.06641366223908918, 0.08293006926653383]"
25,250,"[0.07591360612412285, 0.05596572782790994, 0.11980685131195336, 0.10371248745781264, 0.07984686901832103, 0.06773634788950679, 0.07983231568395152, 0.09202006383948928, 0.07585703865791393, 0.10355515041020966, 0.06341819509079295, 0.09196135617936566, 0.10768669645299535, 0.09951655568731187, 0.07580174927113703, 0.07580041959317706, 0.09548104956268222, 0.07170189504373178, 0.05174927113702624, 0.07585012307411797]"
26,260,"[0.10369915848527349, 0.08078506965740821, 0.11873466526463372, 0.09974581470768691, 0.057550805886475126, 0.08828939301042306, 0.06895645316744063, 0.09173024642637902, 0.0727543337419016, 0.08824044865054329, 0.09990360178774867, 0.06517739816031537, 0.09577637574483, 0.0763298571553764, 0.10746844319775596, 0.06531650008767316, 0.09963196635120926, 0.06531077408608749, 0.07677475898334794, 0.11912692847124824]"
27,270,"[0.09607429295061207, 0.10745336372077319, 0.11832222128449658, 0.0923816755251835, 0.09607760438633488, 0.08872193145365524, 0.09966244725738396, 0.07421150278293136, 0.09991554054054054, 0.10340170507301427, 0.08123627765580138, 0.06661045531197302, 0.09242066171505739, 0.11495319220713503, 0.08125210934863314, 0.0885605740818911, 0.10329113924050633, 0.09245824194364771, 0.07752003374103754, 0.12569643761607294]"
