,X,collisions
28,28,"[0.03577235772357724, 0.0, 0.03577235772357724, 0.03580146460537022, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07020408163265306, 0.0, 0.0, 0.0, 0.03577235772357724, 0.03574329813160033]"
29,29,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06918238993710692, 0.0, 0.0, 0.0, 0.0, 0.03453689167974882, 0.0, 0.03459119496855346, 0.06912804399057344]"
30,30,"[0.0, 0.0, 0.0, 0.03353658536585366, 0.0, 0.03335860500379075, 0.033460076045627375, 0.0, 0.0, 0.0334855403348554, 0.03338391502276176, 0.0, 0.0, 0.0, 0.0, 0.03343465045592705, 0.033409263477600606, 0.0, 0.0, 0.0334855403348554]"
31,31,"[0.032305433186490456, 0.032424465733235076, 0.03240058910162003, 0.03159441587068332, 0.0, 0.06332842415316642, 0.03159441587068332, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06397058823529411, 0.0, 0.0]"
32,32,"[0.0, 0.06267806267806268, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03133903133903134, 0.0, 0.030670470756062766, 0.03136136849607983, 0.0, 0.0, 0.0, 0.030648610121168925, 0.12464387464387465, 0.0]"
33,33,"[0.0, 0.029696132596685083, 0.0, 0.0, 0.030428769017980636, 0.0, 0.0, 0.0, 0.0304077401520387, 0.0, 0.030470914127423823, 0.0, 0.0, 0.03038674033149171, 0.0304077401520387, 0.03038674033149171, 0.03036576949620428, 0.0, 0.0, 0.0]"
34,34,"[0.0, 0.029470864032150032, 0.0, 0.058310991957104555, 0.02953020134228188, 0.0, 0.0, 0.0, 0.0, 0.02887844190732035, 0.02956989247311828, 0.0, 0.0, 0.0, 0.029451137884872823, 0.0, 0.0, 0.028859060402684565, 0.0, 0.02953020134228188]"
35,35,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.05740378343118069, 0.028086218158066622, 0.0, 0.028589993502274202, 0.0, 0.0, 0.05678851174934726, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05732899022801303]"
36,36,"[0.02786573780873971, 0.0, 0.0, 0.0, 0.027936507936507936, 0.0, 0.08301647655259822, 0.0, 0.02788339670468948, 0.027848101265822784, 0.027249683143219267, 0.0, 0.027848101265822784, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
37,37,"[0.02707692307692308, 0.0, 0.0, 0.0, 0.054220579174368455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05412054120541206, 0.05363748458692972, 0.0, 0.0, 0.0, 0.0, 0.054220579174368455, 0.027160493827160494, 0.0, 0.027127003699136867]"
