,X,collisions
29,29,"[0.0, 0.0690846286701209, 0.0, 0.03454231433506045, 0.03454231433506045, 0.0, 0.0, 0.03454231433506045, 0.0, 0.0, 0.0, 0.0, 0.03454231433506045, 0.0, 0.0, 0.0, 0.03454231433506045, 0.0, 0.0, 0.0]"
30,30,"[0.0, 0.0333889816360601, 0.0, 0.0667779632721202, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0333889816360601, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0333889816360601, 0.06666666666666667]"
31,31,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06462035541195477, 0.0, 0.0, 0.03231017770597738, 0.09693053311793215, 0.0, 0.0, 0.0, 0.0]"
32,32,"[0.0, 0.0, 0.0, 0.0, 0.03129890453834116, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03129890453834116, 0.0, 0.0, 0.03129890453834116, 0.0, 0.0, 0.0, 0.0]"
33,33,"[0.0, 0.0, 0.030349013657056147, 0.0, 0.0, 0.030349013657056147, 0.030349013657056147, 0.0, 0.0, 0.0, 0.0, 0.0, 0.030349013657056147, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
34,34,"[0.0, 0.0, 0.0, 0.0, 0.029455081001472753, 0.029455081001472753, 0.0, 0.0, 0.0, 0.0, 0.029455081001472753, 0.029455081001472753, 0.0, 0.029455081001472753, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
35,35,"[0.0, 0.0, 0.0, 0.0, 0.02861230329041488, 0.02861230329041488, 0.0, 0.0, 0.0, 0.0, 0.02861230329041488, 0.0, 0.02861230329041488, 0.02861230329041488, 0.0, 0.02861230329041488, 0.0, 0.0, 0.0, 0.05722460658082976]"
36,36,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.027816411682892908, 0.027816411682892908, 0.0, 0.027816411682892908, 0.0, 0.0, 0.0, 0.027816411682892908, 0.0, 0.027816411682892908]"
37,37,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.02706359945872801, 0.05412719891745602, 0.0, 0.02706359945872801, 0.0, 0.0, 0.02706359945872801, 0.0, 0.0, 0.0, 0.02706359945872801, 0.0, 0.0, 0.0, 0.0]"
38,38,"[0.026350461133069828, 0.026350461133069828, 0.026350461133069828, 0.026350461133069828, 0.026350461133069828, 0.0, 0.052700922266139656, 0.0, 0.0, 0.0, 0.0, 0.026350461133069828, 0.026350461133069828, 0.0, 0.0, 0.0, 0.0, 0.026350461133069828, 0.026350461133069828, 0.0]"
39,39,"[0.0, 0.0, 0.025673940949935817, 0.025673940949935817, 0.0, 0.0, 0.0, 0.051347881899871634, 0.025673940949935817, 0.025673940949935817, 0.0, 0.051347881899871634, 0.0, 0.025673940949935817, 0.025673940949935817, 0.025673940949935817, 0.025673940949935817, 0.025673940949935817, 0.0, 0.051347881899871634]"
40,40,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.025031289111389236, 0.0, 0.0, 0.0, 0.0, 0.025031289111389236, 0.025031289111389236, 0.025031289111389236, 0.025031289111389236, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025031289111389236]"
41,41,"[0.0, 0.02442002442002442, 0.02442002442002442, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02442002442002442, 0.02442002442002442, 0.024390243902439025, 0.0, 0.0, 0.02442002442002442, 0.02442002442002442, 0.0, 0.04884004884004884, 0.02442002442002442, 0.0]"
42,42,"[0.023837902264600714, 0.023809523809523808, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023837902264600714, 0.0, 0.0, 0.023837902264600714, 0.0, 0.023837902264600714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
43,43,"[0.0, 0.0, 0.0, 0.023282887077997673, 0.0, 0.0, 0.023282887077997673, 0.023282887077997673, 0.0, 0.09313154831199069, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023282887077997673, 0.0]"
44,44,"[0.022753128555176336, 0.022753128555176336, 0.0, 0.022753128555176336, 0.0, 0.022753128555176336, 0.0, 0.0, 0.04550625711035267, 0.0, 0.0, 0.04550625711035267, 0.0, 0.0, 0.0, 0.022753128555176336, 0.0, 0.0, 0.022753128555176336, 0.0]"
45,45,"[0.0, 0.02224694104560623, 0.02224694104560623, 0.02224694104560623, 0.0, 0.02224694104560623, 0.0, 0.0, 0.0, 0.02224694104560623, 0.0, 0.0, 0.0, 0.0, 0.04449388209121246, 0.0, 0.0, 0.0, 0.0, 0.04449388209121246]"
46,46,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.02176278563656148, 0.0, 0.02176278563656148, 0.02176278563656148, 0.06528835690968444, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
47,47,"[0.06389776357827476, 0.0, 0.021299254526091587, 0.0, 0.021299254526091587, 0.021299254526091587, 0.0, 0.021299254526091587, 0.021299254526091587, 0.0, 0.021299254526091587, 0.021299254526091587, 0.06389776357827476, 0.021299254526091587, 0.042598509052183174, 0.021299254526091587, 0.0, 0.021299254526091587, 0.0, 0.06389776357827476]"
48,48,"[0.020833333333333332, 0.020855057351407715, 0.04171011470281543, 0.020855057351407715, 0.020855057351407715, 0.021852237252861603, 0.0, 0.020855057351407715, 0.0, 0.0, 0.0, 0.06256517205422316, 0.0, 0.020855057351407715, 0.020855057351407715, 0.020855057351407715, 0.0, 0.0, 0.020855057351407715, 0.020855057351407715]"
49,49,"[0.04085801838610827, 0.0, 0.020429009193054137, 0.0, 0.04085801838610827, 0.0, 0.020429009193054137, 0.06128702757916241, 0.0, 0.0, 0.0, 0.020429009193054137, 0.020429009193054137, 0.0, 0.020429009193054137, 0.06128702757916241, 0.020429009193054137, 0.020429009193054137, 0.0, 0.0]"
50,50,"[0.02002002002002002, 0.04004004004004004, 0.04, 0.0, 0.0, 0.04004004004004004, 0.02002002002002002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02002002002002002, 0.02002002002002002, 0.02002002002002002, 0.06006006006006006, 0.0, 0.02002002002002002]"
51,51,"[0.03925417075564279, 0.0, 0.019627085377821395, 0.0, 0.03925417075564279, 0.0, 0.019627085377821395, 0.019627085377821395, 0.019627085377821395, 0.019627085377821395, 0.019627085377821395, 0.03925417075564279, 0.0, 0.0, 0.03925417075564279, 0.019627085377821395, 0.019627085377821395, 0.03925417075564279, 0.019627085377821395, 0.03925417075564279]"
52,52,"[0.0, 0.0, 0.0, 0.0, 0.019249278152069296, 0.019249278152069296, 0.0, 0.019249278152069296, 0.03849855630413859, 0.0, 0.05774783445620789, 0.03849855630413859, 0.03849855630413859, 0.03849855630413859, 0.019249278152069296, 0.019249278152069296, 0.0, 0.019249278152069296, 0.019249278152069296, 0.0]"
53,53,"[0.018885741265344664, 0.018885741265344664, 0.0, 0.03777148253068933, 0.018885741265344664, 0.018885741265344664, 0.0, 0.018885741265344664, 0.0, 0.018885741265344664, 0.018885741265344664, 0.0, 0.018885741265344664, 0.018885741265344664, 0.0, 0.018885741265344664, 0.018885741265344664, 0.03777148253068933, 0.018885741265344664, 0.018885741265344664]"
54,54,"[0.0, 0.018535681186283594, 0.018535681186283594, 0.0, 0.018535681186283594, 0.018535681186283594, 0.018535681186283594, 0.03707136237256719, 0.0, 0.018535681186283594, 0.0, 0.0, 0.0, 0.018535681186283594, 0.07414272474513438, 0.018535681186283594, 0.018535681186283594, 0.03707136237256719, 0.018535681186283594, 0.018535681186283594]"
55,55,"[0.018198362147406732, 0.0, 0.0, 0.0, 0.018198362147406732, 0.0, 0.0, 0.0, 0.018198362147406732, 0.036396724294813464, 0.018198362147406732, 0.018198362147406732, 0.018198362147406732, 0.0, 0.018198362147406732, 0.0, 0.0, 0.018198362147406732, 0.0, 0.0545950864422202]"
56,56,"[0.0, 0.05361930294906166, 0.017873100983020553, 0.017873100983020553, 0.035746201966041107, 0.0, 0.0, 0.0, 0.017873100983020553, 0.0, 0.017873100983020553, 0.035746201966041107, 0.0, 0.0, 0.0, 0.0, 0.017873100983020553, 0.0, 0.05361930294906166, 0.017873100983020553]"
