,X,collisions,max_supported_sensors
0,0,0.0,0.0
1,5,0.0,0.0028561303703703495
2,10,0.0,0.005705078518518473
3,15,0.0,0.008563602962962892
4,20,0.0,0.011443674074073977
5,25,0.0,0.0142926222222221
6,30,0.0033409263477600605,0.017151146666666516
7,35,0.005731032844733985,0.019990518518518345
8,40,0.0,0.02287777185185165
9,45,0.0,0.02572911407407549
10,50,0.0009571558796718322,0.028616367407412045
11,55,0.0,0.03146770962963745
12,60,0.0,0.034299899259270246
13,65,0.0022783286623452863,0.03715124148149565
14,70,0.0028650533702207948,0.04004328296298036
15,75,0.0006688963210702341,0.04290659555557615
16,80,0.003108043132319018,0.045765120000023786
17,85,0.002950643946669905,0.04859970370373066
18,90,0.003902692204346965,0.05143428740743752
19,95,0.00575824081695205,0.05427365925929255
20,100,0.005993377090826929,0.05720879407411064
21,105,0.0032777746025874923,0.06000507259263228
22,110,0.004080455589277598,0.06286838518522807
23,115,0.0017444746082579405,0.06573648592597202
24,120,0.006211534010297922,0.06859501037041965
25,125,0.002370266910338821,0.07148944592597843
26,130,0.006551603113743749,0.0743862755556113
27,135,0.0022314895229135563,0.07712270222228103
28,140,0.0053565723947444095,0.08006023111117319
29,145,0.005532961021571134,0.0829115733333986
30,150,0.0026285213169116558,0.08578685629636477
31,155,0.005133323755694348,0.08859271111118272
32,160,0.004044706459400804,0.09150869333340819
33,165,0.006062164328576288,0.0943504592593373
34,170,0.007051072036726507,0.09722574222230286
35,175,0.007733667814697469,0.10004596148155256
36,180,0.0057714592864126415,0.10296194370376492
37,185,0.004287438850436268,0.10573906962968144
38,190,0.004989367671599355,0.10863589925930126
39,195,0.009955463267048773,0.11153991111114328
40,200,0.009517896969050258,0.1143314014815042
41,205,0.009016556141080257,0.11721865481482775
42,210,0.009029826498730424,0.12009393777778099
43,215,0.004886809272136748,0.12290458074073443
44,220,0.006818319442145199,0.125720011851836
45,225,0.01264176030118438,0.1286479644444187
46,230,0.006292902139339999,0.13147775999996467
47,235,0.007428891547722365,0.13437219555551042
48,240,0.006267767704437853,0.137187626666612
49,245,0.009200056654942914,0.14003178666660238
50,250,0.009361267483260412,0.1429405866665925
51,255,0.00468144683908336,0.14586614518510113
52,260,0.008633364935906242,0.1486408770369436
53,265,0.0058138201366964865,0.15154488888878562
54,270,0.010188156640544836,0.15434116740729467
55,275,0.009089121483940962,0.15729545481469207
56,280,0.011400723125223717,0.16014679703690463
57,285,0.00905944737202845,0.1629622281480062
58,290,0.012225434031623985,0.16582793481466318
59,295,0.010830083334884087,0.16869124740724606
60,300,0.010975008022884184,0.17154737777760676
61,305,0.007017607035233751,0.1743245037035233
62,310,0.012693351284750553,0.1772931555553651
63,315,0.010115774560800145,0.1800654933331335
64,320,0.010611739103997948,0.18293119999979046
65,325,0.012572819705554492,0.185818453333114
66,330,0.010558720285250917,0.18873443555532635
67,335,0.015217700979842106,0.1915594429627242
68,340,0.008799166014521801,0.19443233185160563
69,345,0.013584009100450078,0.19735310222199243
70,350,0.014417412249447491,0.20005601185163724
71,355,0.012401403000042093,0.20301508740720942
72,360,0.00926900523001668,0.2057682725924101
73,365,0.010232472936880396,0.20873213629613044
74,370,0.01375812545487442,0.21160981333318366
75,375,0.01126672110809998,0.21444918518505146
76,380,0.014031952503086,0.21731249777766012
77,385,0.009347789653958351,0.22011356444434255
78,390,0.013318707846194683,0.222943359999914
79,395,0.015113729391339033,0.2257252740740037
80,400,0.01407568724063921,0.22879208296290982
81,405,0.013815015281859694,0.23152850962959187
82,410,0.01276674177843543,0.2344373096296082
83,415,0.017110746381572017,0.23730780444443916
84,420,0.013066017289432175,0.24011365925926975
85,425,0.015279219485159961,0.24308949333336052
86,430,0.017035088055313157,0.24582831407411668
87,435,0.014114261751467285,0.24872514370376256
88,440,0.015180077381768433,0.25161479111118623
89,445,0.01748213947319166,0.25449246814823945
90,450,0.01423737858016066,0.2572408651852919
91,455,0.01439846757933351,0.2601999407408641
92,460,0.016480476478085752,0.26306804148162094
93,465,0.01880154056920038,0.26593374814830373
94,470,0.015297194347470683,0.26875396740757884
95,475,0.017133976090818563,0.2715239111112981
96,480,0.014789221589396962,0.27443271111131445
97,485,0.01687191056196118,0.27735108740762715
98,490,0.01648741448590581,0.28004920888912377
99,495,0.017024321832928135,0.28304658962988133
100,500,0.018135265253620116,0.2858524444447119
101,505,0.014425597416235798,0.2887780029632469
102,510,0.01808694607896393,0.29161258666696654
103,515,0.01623768362276242,0.29456687407439053
104,520,0.01995438245655341,0.2973176651855171
105,525,0.017080978131454806,0.30020013037071847
106,530,0.017611967459782968,0.3030347140744381
107,535,0.018930540710907356,0.3058812681485282
108,540,0.018220994935731406,0.30880203851891497
109,545,0.0159224324664144,0.311619863704116
110,550,0.016423172848429375,0.31451908740783596
111,555,0.018937590049107774,0.3173153659263702
112,560,0.020309348814941282,0.32022416592638653
113,565,0.016505656656916924,0.323025232593069
114,570,0.016461111245274364,0.32584545185234404
115,575,0.019530630504843986,0.3287542518523604
116,580,0.01736073483070234,0.3316726281486731
117,585,0.022258983298517835,0.33450242370424454
118,590,0.017659568215749183,0.337468681482039
119,595,0.019959852178545383,0.3402721422227955
120,600,0.022691241279716022,0.3431330607413301
121,605,0.022094609401318854,0.3458407585191231
122,610,0.022420278439089277,0.34883335111173247
123,615,0.022829841172715692,0.3515218962969328
124,620,0.02148623302473391,0.3546437688895429
125,625,0.020693837338868572,0.35731316148215053
126,630,0.02073080488771984,0.36022435555624094
127,635,0.025103204957697828,0.3631690666673686
128,640,0.02009586030743046,0.3659725274081251
129,645,0.02117192228528967,0.3688478103711042
130,650,0.02365733780231603,0.3716704237044534
131,655,0.020205825216552474,0.37453852444521024
132,660,0.020250308607552097,0.37738268444522627
133,665,0.022521781589064694,0.3803082429637612
134,670,0.020450699899402784,0.3831093096304436
135,675,0.022082055126477273,0.38599656296379314
136,680,0.026581315307208163,0.38883354074157833
137,685,0.023101367119659016,0.3917686755563568
138,690,0.02104232303951863,0.39459607703780325
139,695,0.01938590153675836,0.39744502518591607
140,700,0.024250895554454865,0.40032509629699153
141,705,0.024553028513767,0.4031165866673273
142,710,0.026315541517258838,0.4058673777784043
143,715,0.02620659904137364,0.4087905422228125
144,720,0.024119863139719235,0.4116131555561109
145,725,0.022806932738069028,0.4144453451857054
146,730,0.026099431105904864,0.4174355437041869
147,735,0.025865279274942077,0.4202174577782265
148,740,0.024689930269140917,0.4231765333337454
149,745,0.02155944580014347,0.4259345066670446
150,750,0.02545914416031995,0.42873317925960247
151,755,0.028335186559482427,0.4317880177780831
152,760,0.02771056514664023,0.43452205037064184
153,765,0.026820879631175056,0.43744760888912415
154,770,0.026737899630539175,0.44040189629649495
155,775,0.028636539509842573,0.4431598696297941
156,780,0.02730091562222959,0.4459298133334635
157,785,0.028230650160226946,0.4489822577778701
158,790,0.02877341950758163,0.4518671170370936
159,795,0.026210695837902996,0.4545580562963195
160,800,0.02730218483261256,0.45738545777776596
161,805,0.025281806946344847,0.4603732622221734
162,810,0.0242273699830709,0.46300434962954823
163,815,0.02620098476841145,0.46613101037025023
164,820,0.02352190127748441,0.4689392592591043
165,825,0.02878481493820832,0.471725961481292
166,830,0.026773437910236945,0.4746108207405155
167,835,0.025917308270089562,0.4773161244441857
168,840,0.030468418289745287,0.48029674666637096
169,845,0.02601401673088404,0.48306669037004035
170,850,0.02954700040909037,0.4859443674070417
171,855,0.02693613922594863,0.4888531674070057
172,860,0.029083463098419898,0.4918385777773391
173,865,0.029126134805522036,0.4946204918513787
174,870,0.029657028839041456,0.497548444443935
175,875,0.03050997714958036,0.5003926044438998
176,880,0.03132688449691532,0.5030691792586814
177,885,0.028800890312230997,0.5059229155549423
178,890,0.02825780710309665,0.508870020740091
179,895,0.028574446383564572,0.5117740325919069
180,900,0.031033865796708204,0.5144960948140954
181,905,0.030076796818512802,0.5175796622214646
182,910,0.03021909596904766,0.5203663644436523
183,915,0.02881152465462496,0.5231291259250995
184,920,0.030140649017515498,0.5259924385176566
185,925,0.03371769511585411,0.5288246281472512
186,930,0.03120922802245239,0.5317765214805479
187,935,0.02825437671096163,0.5347020799990302
188,940,0.033711220786864185,0.5375151170360324
189,945,0.03250531141327832,0.5402108444434064
190,950,0.032506465164795474,0.543315958517442
191,955,0.03279010394112591,0.546009291850742
192,960,0.03283513711675829,0.5490090666655196
193,965,0.03326021557815523,0.5516976118506715
194,970,0.0348329462608835,0.5546207762950797
195,975,0.031714051088059934,0.5574721185172665
196,980,0.037301118772294986,0.5603402192579717
197,985,0.03464654867868039,0.5632394429616395
198,990,0.030824785456428222,0.5659303822208654
199,995,0.033240591788267174,0.5689421274060134
200,1000,0.033256711641185974,0.5717910755541262
201,1005,0.03512190335100533,0.5746089007392765
202,1010,0.03379390039512263,0.5775751585170175
203,1015,0.037602329250655875,0.5804504414799448
204,1020,0.03318351485638403,0.5833113599984279
205,1025,0.033916610419989404,0.5860358162946904
206,1030,0.034728145959379925,0.5888991288872475
207,1035,0.03458111159492867,0.5918558103686924
208,1040,0.03302859789356535,0.5945419614797702
209,1045,0.03509802413071365,0.597443579257512
210,1050,0.03608643233519394,0.6003332266648836
211,1055,0.03784032340095831,0.6032539970352179
212,1060,0.03648445241339083,0.6061005511092566
213,1065,0.0343744902047234,0.6088345837018153
214,1070,0.03713824610695048,0.6118104177758525
215,1075,0.035441486307928975,0.6146785185165577
216,1080,0.035853808221309194,0.6174939496276339
217,1085,0.037146587663215457,0.6202303762942667
218,1090,0.037028993997556145,0.6232038162942298
219,1095,0.03481104304562407,0.6261892266645632
220,1100,0.0374812526023325,0.6289831111089731
221,1105,0.0321240963326766,0.631887122960789
222,1110,0.03617800890351985,0.6347121303681613
223,1115,0.038349203873588006,0.6375395318496078
224,1120,0.035800890699010435,0.6404794548125343
225,1125,0.03848794786609262,0.6432877037013884
226,1130,0.03570038324958057,0.646230020738389
227,1135,0.037739589574588624,0.6490286933309469
228,1140,0.03878733236297911,0.6519542518494292
229,1145,0.038583830780905014,0.6546882844419879
230,1150,0.03867170397949886,0.6575013214789901
231,1155,0.04044289809271791,0.6603766044419175
232,1160,0.04075822720436064,0.6632854044418814
233,1165,0.03463766686781915,0.6662588444418446
234,1170,0.03867434060004167,0.6689713303677368
235,1175,0.03877430048947002,0.671777185182517
236,1180,0.035841264328677895,0.6746404977750741
237,1185,0.04083042632591268,0.677496628145409
238,1190,0.04107226050783528,0.680515555552779
239,1195,0.038895986170495084,0.6832615585157079
240,1200,0.038649465953288165,0.6862900622193742
241,1205,0.04234859481129071,0.6889642429600817
242,1210,0.03801118201396999,0.6919688059230075
243,1215,0.038551550796158816,0.6947674785155654
244,1220,0.03972132367699069,0.6977193718488621
245,1225,0.04181229939237959,0.7005108622191979
246,1230,0.04090736282686393,0.7031682844413872
247,1235,0.04033726082195973,0.7060339911080183
248,1240,0.04216623255214166,0.7088589985153908
249,1245,0.041427099182644575,0.7118420148116501
250,1250,0.040604198320396655,0.7146694162930965
251,1255,0.04391259387826291,0.7176859496263925
252,1260,0.03972884371360533,0.7203960414782108
253,1265,0.04334468816222627,0.7231827437003985
254,1270,0.04404926621325841,0.7263237688855447
255,1275,0.042688862771725795,0.7289955555521783
256,1280,0.04485671534097464,0.7320456059225109
257,1285,0.04357276260343775,0.7347149985150704
258,1290,0.041986993368482474,0.7375687348113313
259,1295,0.04339334090647153,0.7405182340705541
260,1300,0.044819882820437855,0.743374364440889
261,1305,0.043912185310313503,0.7462065540704835
262,1310,0.04296954095446707,0.7491345066630398
263,1315,0.039585643955022065,0.7519619081444864
264,1320,0.04752343040014877,0.7548731022185243
265,1325,0.04348106229920075,0.7575568592555281
266,1330,0.04511118156467046,0.7603722903666044
267,1335,0.04538269427820725,0.7632691199961981
268,1340,0.04385982136270362,0.7660653985146819
269,1345,0.04405948385735921,0.7690484148109413
270,1350,0.047253250314598726,0.7719572148109053
271,1355,0.04380161083676736,0.7748851674034616
272,1360,0.04462932208744118,0.7776598992553128
273,1365,0.04545598188159114,0.7806860088850138
274,1370,0.04357620949994487,0.7835205925887846
275,1375,0.04524808611232338,0.7860295822184735
276,1380,0.04509355342968289,0.7890413274037298
277,1385,0.0455052060950663,0.7919525214778727
278,1390,0.04431684113609245,0.7946769777742333
279,1395,0.049629178957339475,0.7977198459224534
280,1400,0.04514958107682018,0.8005041540706673
281,1405,0.04767535528165469,0.8032333985151763
282,1410,0.044643029326632624,0.806379211848584
283,1415,0.045478893418365696,0.8092281599967994
284,1420,0.047000848931465763,0.811729967404266
285,1425,0.0493069994168875,0.8147345303672999
286,1430,0.04809520677059736,0.8177175466636667
287,1435,0.04412458414892224,0.8204970666637323
288,1440,0.050730552883123906,0.8234178370341717
289,1445,0.04697992791119439,0.8262308740712753
290,1450,0.04725588896697535,0.8290343348120822
291,1455,0.0471214061054961,0.8319551051825216
292,1460,0.04973979110750116,0.8346628029603633
293,1465,0.050096372045603556,0.8376721540715456
294,1470,0.05168093536216012,0.8405067377753163
295,1475,0.05053798983444058,0.8433125925901974
296,1480,0.051753965118504865,0.846384189627307
297,1485,0.04960411352198283,0.8490009125903317
298,1490,0.04968106227190485,0.8520365985163294
299,1495,0.048364222527939676,0.8549382162941758
300,1500,0.05001468723207011,0.8575884562942384
301,1505,0.048402126637569445,0.8606361125906067
302,1510,0.0487837790591358,0.8634371792573395
303,1515,0.051937170759167706,0.8660586903685126
304,1520,0.05048020740438726,0.868888485924135
305,1525,0.051621923739004,0.8720821807390253
306,1530,0.051778332476580355,0.8749454933316856
307,1535,0.047908547409069115,0.877519122961376
308,1540,0.052139026352075526,0.8805955081466339
309,1545,0.048036711704207244,0.883365451850403
310,1550,0.05168298808950996,0.8863484681467698
311,1555,0.049379147151105765,0.8891974162949853
312,1560,0.05577787766486327,0.8919314488876424
313,1565,0.04987782772933485,0.8947684266654873
314,1570,0.049812037761461606,0.897622162961851
315,1575,0.052321354936623085,0.9004016829619167
316,1580,0.051383988451606785,0.9035522844434726
317,1585,0.05179252425103904,0.906307863702797
318,1590,0.05008033812905719,0.9090849896287886
319,1595,0.052747146800237496,0.912008154073302
320,1600,0.05080458531082203,0.9148906192585553
321,1605,0.05182294945994246,0.9177635081475121
322,1610,0.053707860600798116,0.9206699140735067
323,1615,0.05367612983694542,0.9236170192587615
324,1620,0.05188374621778498,0.92637499259216
325,1625,0.05660690162638038,0.9290779022218535
326,1630,0.05319277122157221,0.9319292444441432
327,1635,0.0555617548487672,0.9348739555553238
328,1640,0.05202794385165242,0.93784500148132
329,1645,0.055734131704913425,0.9405790340739771
330,1650,0.05613999014941627,0.9435620503703439
331,1655,0.053641510572399166,0.9462960829630012
332,1660,0.053482164696623744,0.9492216414815887
333,1665,0.05606711738934661,0.9519508859260977
334,1670,0.054375346837920426,0.9549674192595023
335,1675,0.055288721590946444,0.9577636977780869
336,1680,0.05621413126461446,0.9606198281485248
337,1685,0.058863936925428406,0.9634687762967402
338,1690,0.05607411631333174,0.9662626607412507
339,1695,0.05764585090150004,0.9690756977783542
340,1700,0.05740114771249434,0.9719150696302732
341,1705,0.055203295954669475,0.9749675140747897
342,1710,0.05898904158831697,0.9774142577785512
343,1715,0.05527129315419228,0.980708503704555
344,1720,0.057656268648639784,0.9834521125935087
345,1725,0.05748089054325326,0.9862029037046848
346,1730,0.05408328166681632,0.9893271703714253
347,1735,0.059115148571578666,0.9919845925937103
348,1740,0.058732329927473306,0.994910151112298
349,1745,0.05778757368047407,0.9977375525938462
350,1750,0.05810982178283769,1.000809149630956
351,1755,0.05726773081627773,1.0034522074087961
