,X,collisions,max_supported_sensors
0,0,0.0,0.0
1,5,0.0,0.0
2,10,0.001507537688442211,0.0
3,15,0.0026755852842809363,0.0
4,20,0.005764411027568922,0.0
5,25,0.006812825651302605,0.0
6,30,0.0068433500278241525,0.0
7,35,0.005433476394849786,0.0
8,40,0.011013767209011266,0.0
9,45,0.010789766407119022,0.0
10,50,0.01441011011011011,0.0
11,55,0.012737778145421454,0.0
12,60,0.01017313038643314,0.0
13,65,0.01054657428791378,0.0
14,70,0.014438884917798428,0.0
15,75,0.01834458527907494,0.0
16,80,0.015634771732332707,0.0
17,85,0.021775232448177317,0.0
18,90,0.02106614785992218,0.0
19,95,0.022377456278927968,0.0
20,100,0.021660830415207603,0.0
21,105,0.023390798339345265,0.0
22,110,0.02350874452660011,0.0
23,115,0.026140212190555446,0.0
24,120,0.02775772992755728,0.0
25,125,0.02592817927170868,0.0
26,130,0.029009929854677836,0.0
27,135,0.031195531952849475,0.0
28,140,0.02836625325371307,0.0
29,145,0.03076923076923077,0.0
30,150,0.03154243636767811,0.0
31,155,0.03255344596071573,0.0
32,160,0.037918099406064394,0.0
33,165,0.037100939678690506,0.0
34,170,0.03842076389249434,0.0
35,175,0.038265659576205445,0.0
36,180,0.03761646042779616,0.0
37,185,0.0401967229054128,0.0
38,190,0.04187629708649091,0.0
39,195,0.04057154085755001,0.0
40,200,0.04533181420355089,0.0
41,205,0.04698442213746362,0.0
42,210,0.043864390052781,0.0
43,215,0.04625870959141405,0.0
44,220,0.04989306970592489,0.0
45,225,0.05083089575461214,0.0
46,230,0.04676605069885585,0.0
47,235,0.05232489523638315,0.0
48,240,0.04896475429444101,0.0
49,245,0.05251891889640118,0.0
50,250,0.054225305499412214,0.0
51,255,0.051690335282965905,0.0
52,260,0.056315178954532676,0.0
53,265,0.057043188456874096,0.0
54,270,0.05680311205060715,0.0
55,275,0.060004599967094216,0.0
56,280,0.059220562724553304,0.0
57,285,0.05774190916842905,0.0
58,290,0.059091844449509504,0.0
59,295,0.06076583292263773,0.0
60,300,0.06321872948877819,0.0
61,305,0.06319333635405319,0.0
62,310,0.063363164714392,0.0
63,315,0.06694421921338221,0.0
64,320,0.06689478462176732,0.0
65,325,0.0682995253707671,0.0
66,330,0.06818996679937732,0.0
67,335,0.0714552249945971,0.0
68,340,0.07210821444330048,0.0
69,345,0.0731101188788125,0.0
70,350,0.07316461739432165,0.0
71,355,0.0690339526791327,0.0
72,360,0.07068241949645657,0.0
73,365,0.07414518059945921,0.0
74,370,0.07503114426152072,0.0
75,375,0.0760818796338112,0.0
76,380,0.07826274354667308,0.0
77,385,0.07534547099587571,0.0
78,390,0.07851765044049476,0.0
79,395,0.0827394529269321,0.0
80,400,0.08271865416259618,0.0
81,405,0.08169571483238082,0.0
82,410,0.08240546289107237,0.0
83,415,0.0832679746676184,0.0
84,420,0.08200274365867097,0.0
85,425,0.08285009054414944,0.0
86,430,0.08411920553414348,0.0
87,435,0.08877208529606871,0.0
88,440,0.08785252785511778,0.0
89,445,0.08779347256540629,0.0
90,450,0.09144269022013539,0.0
91,455,0.09005797487877416,0.0
92,460,0.09277576744182145,0.0
93,465,0.09348692388060079,0.0
94,470,0.09068065313531218,0.0
95,475,0.09580176572201986,0.0
96,480,0.0926249875766329,0.0
97,485,0.09543587486846657,0.0
98,490,0.09899141398366737,0.0
99,495,0.09822824874668495,0.0
100,500,0.09694386657943867,0.0
101,505,0.10069924731190835,0.0
102,510,0.10009122405516213,0.0
103,515,0.10165229201677879,0.0
104,520,0.10074135956436522,0.0
105,525,0.099989532607736,0.0
106,530,0.10235943227111137,0.0
107,535,0.0995465948865865,0.0
108,540,0.10411561056568522,0.0
109,545,0.10549527131693456,0.0
110,550,0.10605123788892834,0.0
111,555,0.10853354929660035,0.0
112,560,0.10806836485409074,0.0
113,565,0.1102596700862499,0.0
114,570,0.11265582247608552,0.0
115,575,0.11014304447458176,0.0
116,580,0.11064664287691242,0.0
117,585,0.11022602097153189,0.0
118,590,0.11093579423050941,0.0
119,595,0.11388162833718221,0.0
120,600,0.11791864147148363,0.0
121,605,0.11597422272713806,0.0
122,610,0.11633504287015628,0.0
123,615,0.11612421995293842,0.0
124,620,0.11691025743098124,0.0
125,625,0.115573562190986,0.0
126,630,0.11938393050803327,0.0
127,635,0.12062697940584903,0.0
128,640,0.12140901861368913,0.0
129,645,0.12176805412537786,0.0
130,650,0.12274886711623464,0.0
131,655,0.12171657746787796,0.0
132,660,0.1224175818420135,0.0
133,665,0.12503192407950084,0.0
134,670,0.1271772871178998,0.0
135,675,0.12210736459789642,0.0
136,680,0.12907369836467336,0.0
137,685,0.1278203274748502,0.0
138,690,0.13002710947352214,0.0
139,695,0.12881567628580468,0.0
140,700,0.1301304274427573,0.0
141,705,0.13096791149481643,0.0
142,710,0.13195955468511886,0.0
143,715,0.1328952961182051,0.0
144,720,0.13304295518601478,0.0
145,725,0.13475091185856275,0.0
146,730,0.1337022482349974,0.0
147,735,0.13563192027849152,0.0
148,740,0.1377499836076774,0.0
149,745,0.13735395887112917,0.0
150,750,0.13819529330997082,0.0
151,755,0.13854623486786694,0.0
152,760,0.14055172213712064,0.0
153,765,0.14001585994266189,0.0
154,770,0.1398609717149948,0.0
155,775,0.13962672090664002,0.0
156,780,0.1420677267048633,0.0
157,785,0.14545558550552937,0.0
158,790,0.1417549925083166,0.0
159,795,0.14437723392664173,0.0
160,800,0.1445536714217511,0.0
161,805,0.1452669775300558,0.0
162,810,0.1448801292407594,0.0
163,815,0.15004376041288334,0.0
164,820,0.14540408697143697,0.0
165,825,0.14620620603083515,0.0
166,830,0.15150980467913933,0.0
167,835,0.15048997927819877,0.0
168,840,0.1482114235654782,0.0
169,845,0.15133048911042607,0.0
170,850,0.15056117716924042,0.0
171,855,0.15308593055192793,0.0
172,860,0.15492448516532173,0.0
173,865,0.15333856408256297,0.0
174,870,0.15389880229534994,0.0
175,875,0.1563362819306527,0.0
176,880,0.15803392028122615,0.0
177,885,0.1579389420071665,0.0
178,890,0.1580806601123898,0.0
179,895,0.15832230940700737,0.0
180,900,0.16094373680014884,0.0
181,905,0.15922881865290606,0.0
182,910,0.1612427495718153,0.0
183,915,0.16283428916001083,0.0
184,920,0.1607808525118811,0.0
185,925,0.16196857114936927,0.0
186,930,0.16256799456834048,0.0
187,935,0.16335473351847957,0.0
188,940,0.1658661947783557,0.0
189,945,0.1643599738501638,0.0
190,950,0.1673368586196286,0.0
191,955,0.16730613182959936,0.0
192,960,0.16691052848140264,0.0
193,965,0.16805936142224936,0.0
194,970,0.16968819840607618,0.0
195,975,0.16892298410244094,0.0
196,980,0.16983610235590882,0.0
197,985,0.1701455379839237,0.0
198,990,0.17007896118467625,0.0
199,995,0.17196544874205705,0.0
200,1000,0.17126659100769123,0.0
201,1005,0.17063418485153284,0.0
202,1010,0.17391580385352184,0.0
203,1015,0.17370103734188563,0.0
204,1020,0.17387744771175792,0.0
205,1025,0.17443328786764817,0.0
206,1030,0.17614905615723853,0.0
207,1035,0.17603997470071642,0.0
208,1040,0.17709198910420418,0.0
209,1045,0.17809980557960872,0.0
210,1050,0.17832740911489803,0.0
211,1055,0.17905089475173866,0.0
212,1060,0.18082599767969168,0.0
213,1065,0.17960332462077294,0.0
214,1070,0.18059862397139287,0.0
215,1075,0.18233443127288468,0.0
216,1080,0.18180217980525665,0.0
217,1085,0.18473302675314357,0.0
218,1090,0.18270887402943514,0.0
219,1095,0.1858071429358435,0.0
220,1100,0.18597025284530494,0.0
221,1105,0.185317420267202,0.0
222,1110,0.18503706043960738,0.0
223,1115,0.18648401898850833,0.0
224,1120,0.18788510241115725,0.0
225,1125,0.18704078307446728,0.0
226,1130,0.18916805102118872,0.0
227,1135,0.1872065809456128,0.0
228,1140,0.19056075932985744,0.0
229,1145,0.18989286126349425,0.0
230,1150,0.19016734889209536,0.0
231,1155,0.19233532502011208,0.0
232,1160,0.19087333146667074,0.0
233,1165,0.1925248465299803,0.0
234,1170,0.19421320742918313,0.0
235,1175,0.19523257931992102,0.0
236,1180,0.19521267770682638,0.0
237,1185,0.19474967547699637,0.0
238,1190,0.19605312771542757,0.0
239,1195,0.19504934597076776,0.0
240,1200,0.195960910620281,0.0
241,1205,0.19710884122881822,0.0
242,1210,0.19711336279975047,0.0
243,1215,0.19718191523535206,0.0
244,1220,0.19858537022259798,0.0
245,1225,0.19921718873494831,0.0
246,1230,0.2018087753916876,0.0
247,1235,0.20103149925876423,0.0
248,1240,0.2019910171795559,0.0
249,1245,0.20044088995997997,0.0
