,X,collisions
18,180,"[0.038899694359544316, 0.027785495971103084, 0.0333425951653237, 0.038899694359544316, 0.0333425951653237, 0.0666851903306474, 0.0333425951653237, 0.07779938871908863, 0.07224228952486803, 0.07224228952486803, 0.0333425951653237, 0.05557099194220617, 0.05001389274798555, 0.0666851903306474, 0.0666851903306474, 0.0666851903306474, 0.04445679355376494, 0.038899694359544316, 0.05001389274798555, 0.0333425951653237]"
19,190,"[0.0315872598052119, 0.042116346406949196, 0.052645433008686494, 0.04738088970781785, 0.03685180310608055, 0.042116346406949196, 0.07896814951302975, 0.0737036062121611, 0.07896814951302975, 0.04738088970781785, 0.042116346406949196, 0.042116346406949196, 0.052645433008686494, 0.052645433008686494, 0.0737036062121611, 0.04738088970781785, 0.04738088970781785, 0.052645433008686494, 0.06842105263157895, 0.0315872598052119]"
20,200,"[0.05001250312578145, 0.040010002500625155, 0.05501375343835959, 0.085, 0.0450112528132033, 0.05501375343835959, 0.05501375343835959, 0.0450112528132033, 0.05501375343835959, 0.06001500375093773, 0.0450112528132033, 0.040010002500625155, 0.06001500375093773, 0.08002000500125031, 0.07001750437609403, 0.03500875218804701, 0.05501375343835959, 0.07501875468867217, 0.05001250312578145, 0.08502125531382845]"
21,210,"[0.06668254346272923, 0.06191950464396285, 0.08573469873779471, 0.04763038818766373, 0.06191950464396285, 0.04763038818766373, 0.052393427006430106, 0.05715646582519648, 0.06668254346272923, 0.03334127173136461, 0.06668254346272923, 0.05715646582519648, 0.042867349368897356, 0.07620862110026197, 0.0714455822814956, 0.04763038818766373, 0.06191950464396285, 0.05715646582519648, 0.052393427006430106, 0.052393427006430106]"
22,220,"[0.045454545454545456, 0.0681973175721755, 0.050011366219595364, 0.059104341895885426, 0.03637190270516026, 0.07274380541032052, 0.07274380541032052, 0.050011366219595364, 0.0545578540577404, 0.0681973175721755, 0.06365082973403047, 0.09092975676290066, 0.059104341895885426, 0.06365082973403047, 0.07274380541032052, 0.05, 0.0545578540577404, 0.07274380541032052, 0.0681973175721755, 0.08638326892475563]"
23,230,"[0.08262665796912372, 0.05653402913676886, 0.09567297238530115, 0.09567297238530115, 0.060882800608828, 0.047836486192650574, 0.07392911502500543, 0.04348771472059143, 0.08262665796912372, 0.06958034355294629, 0.060882800608828, 0.030441400304414, 0.06958034355294629, 0.05218525766470972, 0.05218525766470972, 0.04348771472059143, 0.08262665796912372, 0.05218525766470972, 0.060882800608828, 0.060882800608828]"
24,240,"[0.07501562825588665, 0.0625130235465722, 0.07501562825588665, 0.07084809335278183, 0.07501562825588665, 0.050010418837257764, 0.0916857678683059, 0.08335069806209627, 0.05417795374036258, 0.0625, 0.07084809335278183, 0.050010418837257764, 0.04584288393415295, 0.08335069806209627, 0.06666666666666667, 0.05417795374036258, 0.04584288393415295, 0.08335069806209627, 0.0625130235465722, 0.07084809335278183]"
25,250,"[0.08401680336067213, 0.05201040208041608, 0.04400880176035207, 0.08401680336067213, 0.0680136027205441, 0.060012002400480095, 0.07201440288057612, 0.05201040208041608, 0.05201040208041608, 0.08401680336067213, 0.060012002400480095, 0.09601920384076815, 0.0640128025605121, 0.060012002400480095, 0.060012002400480095, 0.08001600320064013, 0.07201440288057612, 0.08001600320064013, 0.05601120224044809, 0.060012002400480095]"
26,260,"[0.04616272360069244, 0.08078476630121177, 0.05384615384615385, 0.08078476630121177, 0.06924408540103866, 0.07693787266782073, 0.07693787266782073, 0.08078476630121177, 0.06155029813425659, 0.05385651086747451, 0.05770340450086555, 0.05385651086747451, 0.06924408540103866, 0.06155029813425659, 0.03462204270051933, 0.042315829967301405, 0.06924408540103866, 0.06539719176764762, 0.0730909790344297, 0.06924408540103866]"
27,270,"[0.08520096314132247, 0.05186145582515281, 0.09260974254491572, 0.11113169105389888, 0.07038340433413595, 0.07779218373772921, 0.07408779403593257, 0.05186145582515281, 0.07038340433413595, 0.07779218373772921, 0.08520096314132247, 0.08148148148148149, 0.08149657343952584, 0.06667901463233933, 0.07038340433413595, 0.08149657343952584, 0.07779218373772921, 0.06297462493054269, 0.05927023522874606, 0.08520096314132247]"
