,index,all_backshifts,number_sensors_shifted
265,265,16.0,12.4
266,266,18.0,13.2
267,267,20.0,14.6
268,268,22.4,14.4
269,269,14.8,11.4
270,270,19.0,13.2
271,271,17.6,12.8
272,272,19.6,14.0
273,273,16.8,12.0
274,274,19.8,13.0
275,275,22.8,16.0
276,276,22.4,14.2
277,277,20.4,12.6
278,278,25.4,18.8
279,279,19.0,14.2
280,280,18.6,13.0
281,281,16.4,12.6
282,282,22.8,16.2
283,283,25.0,17.2
284,284,21.8,14.0
285,285,21.6,15.2
286,286,19.4,14.4
287,287,27.0,17.6
288,288,21.0,14.8
289,289,20.8,15.6
290,290,20.8,16.2
291,291,27.8,18.2
292,292,23.0,17.0
293,293,24.6,16.2
294,294,18.4,12.2
295,295,19.8,13.0
296,296,18.8,13.2
297,297,23.2,15.6
298,298,17.4,12.0
299,299,26.0,17.2
300,300,22.0,15.8
301,301,25.4,16.6
302,302,22.6,16.0
303,303,23.8,17.6
304,304,24.0,16.6
305,305,26.8,18.8
306,306,24.8,17.4
307,307,23.8,18.8
308,308,24.4,18.6
309,309,24.0,18.0
310,310,23.2,16.8
311,311,25.8,18.4
312,312,30.4,19.0
313,313,26.6,18.6
314,314,33.4,21.6
315,315,30.0,20.0
316,316,25.4,17.4
317,317,22.6,16.4
318,318,24.4,17.8
319,319,23.6,15.2
320,320,32.2,21.0
321,321,29.2,19.4
322,322,24.8,18.6
323,323,26.0,19.0
324,324,28.0,20.0
325,325,26.4,19.4
326,326,29.6,20.0
327,327,29.6,20.4
328,328,29.2,20.2
329,329,35.6,25.0
330,330,26.4,17.8
331,331,25.4,17.4
332,332,33.8,21.2
333,333,31.8,21.0
334,334,33.4,23.0
335,335,34.8,23.0
336,336,28.8,20.6
337,337,26.4,19.6
338,338,32.4,21.4
339,339,35.0,24.2
340,340,35.2,24.4
341,341,24.0,16.2
342,342,30.6,22.4
343,343,31.6,22.0
344,344,35.2,21.6
345,345,31.8,20.0
346,346,34.2,23.6
347,347,29.2,21.0
348,348,29.8,22.6
349,349,34.6,23.6
350,350,39.6,24.0
351,351,29.8,22.4
352,352,36.4,23.8
353,353,31.0,22.4
354,354,39.2,26.8
355,355,30.4,20.4
356,356,36.2,24.2
357,357,43.8,29.2
358,358,36.2,26.2
359,359,28.4,20.0
360,360,42.4,28.8
361,361,36.4,26.0
362,362,37.6,26.8
363,363,44.4,27.2
364,364,33.4,23.4
365,365,30.4,20.2
366,366,30.0,23.2
367,367,32.6,22.8
368,368,47.6,28.6
369,369,37.4,26.4
370,370,35.0,25.4
371,371,37.0,25.2
372,372,33.6,24.0
373,373,31.6,24.8
374,374,37.0,27.8
375,375,38.4,24.4
376,376,34.6,24.2
377,377,41.2,24.6
378,378,35.8,24.4
379,379,42.0,28.2
380,380,42.0,28.0
381,381,37.6,26.6
382,382,33.8,25.2
383,383,39.2,27.8
384,384,38.2,26.6
385,385,37.0,25.6
386,386,29.8,21.8
387,387,37.2,25.6
388,388,40.6,28.4
389,389,38.8,27.6
390,390,38.0,27.2
391,391,49.2,29.8
392,392,36.2,24.8
393,393,41.6,28.6
394,394,44.2,31.2
395,395,37.8,27.8
396,396,48.8,33.6
397,397,47.2,31.4
398,398,39.6,26.6
399,399,44.4,28.6
400,400,51.2,34.0
401,401,46.0,30.2
402,402,43.0,29.4
403,403,42.0,29.0
404,404,39.8,25.4
405,405,50.6,34.2
406,406,42.6,30.4
407,407,39.6,29.4
408,408,48.8,33.0
409,409,41.6,28.0
410,410,46.8,34.0
411,411,42.8,28.6
412,412,43.2,29.2
413,413,45.0,30.8
414,414,41.4,29.0
415,415,45.6,32.0
416,416,47.8,31.0
417,417,42.6,30.0
418,418,48.6,35.8
419,419,46.2,30.8
420,420,49.8,34.0
421,421,45.4,30.6
422,422,48.6,33.4
423,423,49.6,32.4
424,424,46.2,33.0
425,425,52.6,36.0
426,426,47.4,35.4
427,427,44.2,30.8
428,428,54.4,34.8
429,429,43.0,29.2
430,430,49.8,34.2
431,431,53.4,33.2
432,432,46.2,32.2
433,433,55.6,35.4
434,434,49.4,34.4
435,435,52.6,34.6
436,436,50.6,35.0
437,437,35.0,26.4
438,438,56.6,37.8
439,439,58.6,37.8
440,440,51.8,33.6
441,441,57.0,36.0
442,442,64.2,37.8
443,443,52.4,33.8
444,444,54.2,37.0
445,445,48.6,35.6
446,446,60.0,40.4
447,447,57.2,37.0
448,448,57.0,39.2
449,449,63.8,39.4
450,450,62.0,43.6
451,451,48.4,33.0
452,452,53.0,35.6
453,453,54.2,36.0
454,454,57.0,40.6
455,455,53.8,38.8
456,456,57.4,40.4
457,457,49.6,36.4
458,458,53.6,39.8
459,459,53.0,35.2
460,460,66.8,41.0
461,461,58.8,40.6
462,462,54.2,37.6
463,463,51.4,35.8
464,464,62.4,40.8
465,465,66.2,44.2
466,466,62.2,41.2
467,467,67.0,43.0
468,468,59.2,42.4
469,469,71.0,44.4
470,470,63.4,43.6
471,471,59.2,39.8
472,472,64.8,42.4
