,number_sensors,collision_probability,ticks,messages_per_colissionprobab
0,1,0.0,0.005,19.0
1,2,0.0,0.005196797865243496,19.0
2,3,0.0,0.005393595730486991,19.0
3,4,0.0,0.0055903935957304874,19.0
4,5,0.0,0.005787191460973983,19.0
5,6,0.0,0.005983989326217479,19.0
6,7,0.0,0.006180787191460974,19.0
7,8,0.0,0.00637758505670447,19.0
8,9,0.0,0.006574382921947965,20.0
9,10,0.0,0.006771180787191461,21.0
10,11,0.0,0.006967978652434956,21.0
11,12,0.0,0.0071647765176784525,22.0
12,13,0.0,0.0073615743829219486,22.0
13,14,0.014285714285714287,0.007558372248165444,22.0
14,15,0.0,0.007755170113408939,23.0
15,16,0.0,0.007951967978652434,23.0
16,17,0.011764705882352941,0.008148765843895931,24.0
17,18,0.0,0.008345563709139426,25.0
18,19,0.021052631578947368,0.008542361574382921,25.0
19,20,0.0,0.008739159439626418,26.0
20,21,0.01904761904761905,0.008935957304869914,26.0
21,22,0.02727272727272727,0.009132755170113409,26.0
22,23,0.008695652173913044,0.009329553035356906,26.0
23,24,0.016666666666666666,0.0095263509006004,27.0
24,25,0.008,0.009723148765843896,27.0
25,26,0.007692307692307693,0.009919946631087391,27.0
26,27,0.022222222222222223,0.010116744496330887,27.0
27,28,0.0071428571428571435,0.010313542361574383,28.0
28,29,0.0,0.010510340226817879,28.0
29,30,0.006666666666666667,0.010707138092061374,28.0
30,31,0.0064516129032258064,0.01090393595730487,29.0
31,32,0.025,0.011100733822548364,29.0
32,33,0.01818181818181818,0.011297531687791861,30.0
33,34,0.011764705882352941,0.011494329553035358,30.0
34,35,0.0,0.011691127418278852,30.0
35,36,0.011111111111111112,0.011887925283522349,32.0
36,37,0.010810810810810811,0.012084723148765844,32.0
37,38,0.015789473684210527,0.012281521014009339,32.0
38,39,0.010256410256410256,0.012478318879252836,33.0
39,40,0.02,0.012675116744496331,33.0
40,41,0.014634146341463414,0.012871914609739826,34.0
41,42,0.009523809523809525,0.013068712474983323,34.0
42,43,0.013953488372093023,0.013265510340226817,35.0
43,44,0.031818181818181815,0.013462308205470314,35.0
44,45,0.03111111111111111,0.01365910607071381,35.0
45,46,0.02608695652173913,0.013855903935957304,35.0
46,47,0.01276595744680851,0.014052701801200801,36.0
47,48,0.008333333333333333,0.014249499666444294,36.0
48,49,0.024489795918367346,0.014446297531687791,37.0
49,50,0.016,0.014643095396931288,39.0
50,51,0.027450980392156862,0.014839893262174782,39.0
51,52,0.015384615384615385,0.015036691127418279,39.0
52,53,0.022641509433962263,0.015233488992661776,39.0
53,54,0.018518518518518517,0.015430286857905269,40.0
54,55,0.023636363636363636,0.015627084723148766,40.0
55,56,0.028571428571428574,0.015823882588392263,41.0
56,57,0.017543859649122806,0.016020680453635756,42.0
57,58,0.03103448275862069,0.016217478318879253,42.0
